team_number,name,city,organization,event_id,event_name,event_date
56271,Mechanical Arts,Albany,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
61093,Golden Dolphins,Fremont,Code Ninjas,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
66603,Fletcher Robotigers,PALO ALTO,Ellen Fletcher Middle School,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
66739,Lakshmi Adusumilli,Fremont,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
66920,SparkleBots1,El Dorado Hills,Theodore Judah Elementary,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
67142,Dreamers,Danville,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
67407,Robot Thunder X,San Jose,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
67440,BayBots,Fremont,Thornton Junior High,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
67678,RoboSquad,Fremont,Harvey Green Elementary,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
68377,Gemini,Fremont,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
68775,Little Scholar ACE,Newark,Little Scholar ACE,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
68960,Poseidon Engineers,Milpitas,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
69065,Mustang QuadRacers,Fremont,Mission San Jose Elementary,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
69253,The Marines,San Jose,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
69595,TechnoBots,Fremont,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
69653,Robo Legends,Newark,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
70153,rickroll,Fremont,Family/Community,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
70300,DCACS Exo Cubs,Santa Clara,Don Callejon,128,,2025 NorCal FLL-C:  Fremont Spring League - 4/5FIRST LEGO League: Challenge
45629,Dragon Bots,San Francisco,Ecole Notre Dame Des Victoires,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
59696,Energizers,Sacramento,Family/Community,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
60141,St. Anselm School 1,San Anselmo,St Anselm School,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
65019,The Ravens,San Jose,Family/Community,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
65072,Master Builders,Santa Clara,Stratford School-Santa Clara,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
65273,LEGOnardo da Vinci,Folsom,Family/Community,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
65892,Code Queens,Folsom,Family/Community,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
66511,Tech Titans,San Jose,Family/Community,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
67727,Thunderbolts,Fremont,Family/Community,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
68174,Sundrop Robotics - Albany,ALBANY,Sundrop Tutoring And Robotics,121,,2025 NorCal FLL-C:  The Play Space Spring League - 4/5FIRST LEGO League: Challenge
