team_number,name,city,organization
,56271,Mechanical Arts,Albany
,61093,Golden Dolphins,Fremont
,66603,Fletcher Robotigers,PALO ALTO
,66739,Lakshmi Adusumilli,Fremont
,66920,SparkleBots1,El Dorado Hills
,67142,Dreamers,Danville
,67407,Robot Thunder X,San Jose
,67440,BayBots,Fremont
,67678,RoboSquad,Fremont
,68377,Gemini,Fremont
,68775,Little Scholar ACE,Newark
,68960,Poseidon Engineers,Milpitas
,69065,Mustang QuadRacers,Fremont
,69253,The Marines,San Jose
,69595,TechnoBots,Fremont
,69653,Robo Legends,Newark
,70153,rickroll,Fremont
,70300,DCACS Exo Cubs,Santa Clara
